2012-06-08 00:48:48 NOVST LOG:  database system was interrupted; last known up at 2012-06-07 23:48:40 NOVST
2012-06-08 00:48:48 NOVST FATAL:  the database system is starting up
2012-06-08 00:48:49 NOVST LOG:  database system was not properly shut down; automatic recovery in progress
2012-06-08 00:48:49 NOVST LOG:  consistent recovery state reached at 0/28B6E08
2012-06-08 00:48:49 NOVST LOG:  record with zero length at 0/28B6E08
2012-06-08 00:48:49 NOVST LOG:  redo is not required
2012-06-08 00:48:49 NOVST FATAL:  the database system is starting up
2012-06-08 00:48:49 NOVST LOG:  database system is ready to accept connections
2012-06-08 00:48:49 NOVST LOG:  autovacuum launcher started
